Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc),Crystal System
mp-559051,BaBiO3,P21/c,-2.243,0,0.077,345.397,20,7.583,monoclinic
mp-1211648,KCaBr3,Pnma,-1.954,0,4.593,699.752,20,3.027,orthorhombic
mp-1205684,KScTl2F6,Fm3m,-3.153,0,4.848,192.77,10,5.227,cubic
mp-1214135,Ca2TaInO6,P21/c,-3.124,0,3.849,257.93,20,6.076,monoclinic
mp-1206817,TlVCl3,P63/mmc,-1.456,0.001,0.277,268.553,10,4.473,hexagonal
mp-1208834,Sr2CrSbO6,I4/m,-2.684,0.001,1.877,510.112,40,5.794,tetragonal
mp-22390,SrRuO3,Pnma,-2.176,0.001,0,251.985,20,6.239,orthorhombic
mp-19078,Ba2SrWO6,R3,-2.968,0.001,3.397,166.341,10,6.41,trigonal
mp-1078250,Cs2AgBiBr6,Fm3m,-1.139,0.001,1.621,379.059,10,4.653,cubic
mp-23482,BaBiO3,R3,-2.242,0.001,0.079,172.409,10,7.595,trigonal
mp-6613,Ba2YTaO6,Fm3m,-3.58,0.002,3.362,155.961,10,6.82,cubic
mp-18965,BaCoO3,P63/mmc,-2.106,0.002,0,273.071,20,5.941,hexagonal
mp-1207065,Ba2TbTaO6,Fm3m,-3.58,0.002,3.371,156.807,10,7.524,cubic
mp-1205883,Rb2LiHoCl6,Fm3m,-2.453,0.002,5.119,283.14,10,3.258,cubic
mp-19182,Ba2CaWO6,I4/m,-3.031,0.002,3.204,154.903,10,6.374,tetragonal
mp-1080123,Ba2LaIrO6,Fm3m,-2.719,0.002,0,162.062,10,7.191,cubic
mp-18977,Ba2CaWO6,Fm3m,-3.031,0.003,3.2,154.818,10,6.377,cubic
mp-1208733,Sr2TaCoO6,Fm3m,-2.926,0.003,1.55,510.721,40,6.647,cubic
mp-1208919,Sm2MgPtO6,P21/c,-2.899,0.003,2.08,246.21,20,8.311,monoclinic
mp-5986,BaTiO3,P4mm,-3.498,0.003,1.83,67.36,5,5.749,tetragonal
mp-1205743,NaSr2IO6,Fm3m,-2.192,0.003,2.417,138.824,10,5.037,cubic
mp-1194190,Ba3BiIr2O9,C2/c,-2.112,0.004,0,467.948,30,8.157,monoclinic
mp-1114565,Rb2LiDyCl6,Fm3m,-2.452,0.004,5.103,286.992,10,3.2,cubic
mp-1205547,Ba2GdTaO6,Fm3m,-3.55,0.004,3.216,158.862,10,7.409,cubic
mp-1207153,Gd3GaC,Pm3m,-0.405,0.004,0,118.688,5,7.744,cubic
mp-1208626,SrRhO3,Pnma,-2.031,0.004,0,252.017,20,6.287,orthorhombic
mp-1205514,Ba2PuTaO6,Fm3m,-3.394,0.005,0,160.652,10,8.224,cubic
mp-12450,LiNd2OsO6,P21/c,-2.775,0.005,0,250.141,20,7.722,monoclinic
mp-1114583,Rb2LiYCl6,Fm3m,-2.45,0.005,4.931,287.785,10,2.767,cubic
mp-1208920,Sm2CoPtO6,P21/c,-2.566,0.005,1.772,246.789,20,8.757,monoclinic
mp-1213318,EuUO3,Pnma,-3.502,0.005,0,313.722,20,9.273,orthorhombic
mp-1114431,Rb2LiTbCl6,Fm3m,-2.45,0.006,5.048,289.606,10,3.151,cubic
mp-22137,DyCoO3,Pnma,-2.662,0.006,1.183,219.436,20,8.155,orthorhombic
mp-1068377,CsEuCl3,Pm3m,-2.586,0.007,0.736,183.526,5,3.54,cubic
mp-5304,LaAlO3,Pm3m,-3.725,0.007,3.576,55.361,5,6.415,cubic
mp-1207139,KRb2InF6,I4/m,-3.016,0.008,5.556,199.125,10,3.66,tetragonal
mp-1206730,Sr2MgMoO6,Fm3m,-2.899,0.008,2.215,128.144,10,5.073,cubic
mp-1205582,Sr2CrOsO6,Fm3m,-2.496,0.008,0,124.32,10,6.858,cubic
mp-1205767,Sr2MnReO6,Fm3m,-2.642,0.008,0.326,133.598,10,6.369,cubic
mp-1095074,Ba2GdMoO6,Fm3m,-3.073,0.008,0,156.975,10,6.599,cubic
mp-22428,SrCeO3,Pnma,-3.625,0.008,2.306,325.374,20,5.629,orthorhombic
mp-1205677,Sr2NbGaO6,I4/m,-3.069,0.009,3.248,127.599,10,5.646,tetragonal
mp-545603,Ba2BiSbO6,Fm3m,-2.454,0.009,1.888,163.082,10,7.142,cubic
mp-554500,Bi2WO6,C2/m,-1.949,0.009,2.439,259.524,18,8.93,monoclinic
mp-1113024,Cs2LiBiCl6,Fm3m,-1.954,0.009,3.605,311.053,10,3.707,cubic
mp-1214677,Ba6Na2Nb2V2O17,P63/mmc,-3.013,0.009,2.938,952.592,58,4.984,hexagonal
mp-1209111,RbSrCl3,P4/mbm,-2.62,0.009,4.901,352.86,10,2.63,tetragonal
mp-1213645,CsSrCl3,P4/mbm,-2.644,0.01,5.026,373.434,10,2.907,tetragonal
mp-1206283,Sr2CaOsO6,Fm3m,-2.638,0.01,0,143.687,10,5.796,cubic
mp-1213688,CsCaI3,Pnma,-1.607,0.01,3.993,948.409,20,3.878,orthorhombic
mp-1208835,Sr2AlSbO6,Fm3m,-2.937,0.01,1.899,121.271,10,5.751,cubic
mp-1114367,Rb2NaPdF6,Fm3m,-2.516,0.011,0,166.997,10,4.12,cubic
mp-1207219,Sr2FeSbO6,Fm3m,-2.571,0.011,1.805,516.674,40,5.77,cubic
mp-1214117,Ca2TmRuO6,P21/c,-2.874,0.011,0,257.514,20,5.754,monoclinic
mp-12525,Sr2LiReO6,Fm3m,-2.749,0.011,1.706,125.892,10,6.125,cubic
mp-1205556,Ba2NdReO6,Fm3m,-2.96,0.011,0,160.41,10,7.258,cubic
mp-1112753,Cs2KNdCl6,Fm3m,-2.485,0.011,5.142,383.648,10,2.865,cubic
mp-1211325,La2TiNiO6,P21/c,-3.288,0.011,2.865,498.056,40,6.406,monoclinic
mp-556003,CaTiO3,Imma,-3.556,0.011,2.16,115.026,10,3.925,orthorhombic
mp-1112786,Cs2KBiCl6,Fm3m,-1.982,0.011,4.062,379.676,10,3.178,cubic
mp-1206178,Sr2ScReO6,Fm3m,-3.077,0.011,0,133.096,10,6.268,cubic
mp-1214797,Ba2ErReO6,P21/c,-3.058,0.012,0,299.999,20,8.016,monoclinic
mp-1205596,Ba2NdTaO6,Fm3m,-3.491,0.012,3.316,164.505,10,7.024,cubic
mp-1205364,CaTiO3,Cmcm,-3.554,0.013,2.14,229.696,20,3.931,orthorhombic
mp-1213642,CsSrCl3,Pm3m,-2.641,0.013,5.009,188.072,5,2.886,cubic
mp-1212992,Eu2ZnPtO6,P21/c,-2.293,0.013,0,251.299,20,8.728,monoclinic
mp-1210843,MnH4NF3,Pnma,-1.769,0.013,2.895,316.884,36,2.724,orthorhombic
mp-1112721,Cs2KPrCl6,Fm3m,-2.479,0.014,5.006,387.937,10,2.819,cubic
mp-1211314,La2TiCoO6,P21/c,-3.359,0.014,0.55,503.353,40,6.342,monoclinic
mp-21915,Ce3Co4Sn13,Pm3n,-0.362,0.014,0,887.024,40,8.234,cubic
mp-1113037,Cs2KPdF6,Fm3m,-2.518,0.014,0,202.895,10,4.299,cubic
mp-1205808,Rb2LiYbCl6,Fm3m,-2.169,0.015,0,286.371,10,3.268,cubic
mp-1212404,HfCdO3,Pnma,-2.956,0.015,2.324,255.602,20,8.807,orthorhombic
mp-2998,BaTiO3,Pm3m,-3.487,0.015,1.725,65.723,5,5.892,cubic
mp-1212785,Gd2NiRuO6,P21/c,-2.585,0.015,0,237.67,20,7.969,monoclinic
mp-1205670,Ba2PrTaO6,Fm3m,-3.469,0.016,3.306,166.615,10,6.902,cubic
mp-1208534,Tb2MgTiO6,P21/c,-3.708,0.016,3.232,234.15,20,6.893,monoclinic
mp-1212787,Er2MgTiO6,P21/c,-3.725,0.016,3.23,228.931,20,7.292,monoclinic
mp-1078205,KRb2InF6,Fm3m,-3.008,0.016,5.467,200.881,10,3.628,cubic
mp-1212333,Ho2MgTiO6,P21/c,-3.719,0.016,3.202,230.975,20,7.161,monoclinic
mp-20570,HoCoO3,Pnma,-2.663,0.016,1.159,219.197,20,8.238,orthorhombic
mp-1207960,Tm2MgTiO6,P21/c,-3.736,0.017,3.236,224.968,20,7.47,monoclinic
mp-542897,BaIrO3,C2/m,-2.015,0.017,0,440.307,30,8.543,monoclinic
mp-1095109,Ba2BiIrO6,Fm3m,-2.131,0.017,0,158.793,10,8.071,cubic
mp-1209914,Nd2ZnPtO6,P21/c,-2.587,0.017,1.7,254.131,20,8.429,monoclinic
mp-1213021,Eu2MgPtO6,P21/c,-2.541,0.017,0,249.795,20,8.234,monoclinic
mp-1080537,K2NaVF6,Fm3m,-3.112,0.018,0,152.233,10,2.903,cubic
mp-1111627,K2NaPdF6,Fm3m,-2.511,0.018,0,159.343,10,3.351,cubic
mp-1113044,Cs2KLaCl6,Fm3m,-2.518,0.018,4.728,392.597,10,2.777,cubic
mp-1210617,MgTlCl3,Pnma,-1.86,0.018,4.042,511.7,20,4.349,orthorhombic
mp-1206414,Tl2F3,Pm3m,-2.019,0.019,0,105.351,5,7.341,cubic
mp-1206179,Ba2PuTiO6,Fm3m,-3.458,0.019,0.246,149.796,10,7.344,cubic
mp-1200872,CaTi2FeO6,P42/nmc,-3.181,0.019,1.412,437.438,40,4.368,tetragonal
mp-1205760,Sr2LuNbO6,Fm3m,-3.486,0.02,2.897,144.574,10,6.192,cubic
mp-1181917,CaRhO3,Pnma,-2.088,0.021,0,236.188,20,5.371,orthorhombic
mp-1192440,Eu5Ta4O15,P3m1,-3.431,0.021,0,324.858,24,8.81,trigonal
mp-1206403,Rb2LiVCl6,Fm3m,-2.01,0.022,0,252.247,10,2.907,cubic
mp-1205856,Eu2LuTaO6,Fm3m,-3.552,0.022,0.569,142.79,10,8.79,cubic
mp-566131,KCrF3,P4/mmm,-2.927,0.022,1.185,77.096,5,3.19,tetragonal
mp-561954,TmCoO3,Pnma,-2.687,0.022,1.188,215.827,20,8.49,orthorhombic
mp-1209937,NdLuO3,Pnma,-3.939,0.023,4.887,285.396,20,8.546,orthorhombic
mp-1206273,Ba3UO6,Fm3m,-3.317,0.023,2.159,198.209,10,6.25,cubic
mp-1205631,Sr2CoSbO6,Fm3m,-2.387,0.023,0.246,511.173,40,5.872,cubic
mp-1209227,RbCaBr3,Pm3m,-1.941,0.024,4.142,188.792,5,3.213,cubic
mp-1078727,Ba2BiIrO6,P1,-2.124,0.024,0,158.59,10,8.082,triclinic
mp-1206343,CdNi3C,Pm3m,0.016,0.024,0,57.788,5,8.635,cubic
mp-555735,CaIrO3,Pnma,-2.088,0.024,0,235.849,20,7.894,orthorhombic
mp-23438,BaBiO3,Fm3m,-2.218,0.025,0,173.599,10,7.543,cubic
mp-18899,Nd2MnNiO6,P21/c,-2.682,0.025,1.513,236.203,20,7.004,monoclinic
mp-1199857,BaMnO2,Pnma,-2.393,0.025,1.278,1195.583,64,4.984,orthorhombic
mp-1213085,Dy2MgTiO6,P21/c,-3.704,0.026,3.232,231.675,20,7.07,monoclinic
mp-1114694,KRb2PdF6,Fm3m,-2.497,0.026,0,192.297,10,3.717,cubic
mp-1214698,Ba2CaBiO6,Fm3m,-2.453,0.026,0,168.838,10,6.095,cubic
mp-1205550,Cs2RbPdF6,Fm3m,-2.496,0.026,0,213.582,10,4.445,cubic
mp-1078588,BaTaSe3,P63/mmc,-1.281,0.026,0,271.868,10,6.782,hexagonal
mp-550950,LuCoO3,Pnma,-2.699,0.026,0,201.768,20,9.28,orthorhombic
mp-561870,Sr2CoReO6,P21/c,-2.507,0.027,0,510.604,40,6.717,monoclinic
mp-1025273,Cs2YbH4,I4/mmm,-0.395,0.027,3.127,164.857,7,4.461,tetragonal
mp-1207485,Y2MgTiO6,P21/c,-3.68,0.028,3.237,232.605,20,4.94,monoclinic
mp-1209905,NdMn4(CuO4)3,Im3,-1.854,0.028,0,206.45,20,6.005,cubic
mp-4471,ScAlO3,Pnma,-3.679,0.028,4.593,191.07,20,4.169,orthorhombic
mp-1205705,Sr2UCrO6,Fm3m,-3.284,0.028,0.997,141.412,10,6.591,cubic
mp-1080842,Ba2UPbO6,Fm3m,-3.05,0.028,1.218,184.991,10,7.324,cubic
mp-556892,InBiO3,Pna21,-1.8,0.029,2.755,291.075,20,8.484,orthorhombic
mp-1111924,K2LiPdF6,Fm3m,-2.544,0.029,0,141.462,10,3.587,cubic
mp-6152,La2ZnIrO6,P21/c,-2.663,0.03,0,259.447,20,8.083,monoclinic
mp-31515,Sr2CoReO6,I4/m,-2.504,0.03,0.034,254.636,20,6.735,tetragonal
mp-849371,CdSnO3,Pnma,-1.831,0.03,0.694,253.406,20,7.316,orthorhombic
mp-12948,NaMgF3,Cmcm,-3.489,0.031,6.843,114.855,10,3.016,orthorhombic
mp-1209578,RbCoBr3,P3c1,-0.865,0.032,0,902.003,30,4.243,trigonal
mp-1078353,MnPb2WO6,Fm3m,-1.895,0.033,1.677,276.746,20,8.99,cubic
mp-1106224,MnVO3,Pnma,-2.293,0.033,0.316,209.749,20,4.873,orthorhombic
mp-1211562,LiEu2RuO6,P21/c,-2.479,0.033,0,236.257,20,7.14,monoclinic
mp-1111921,K2LiVF6,Fm3m,-3.14,0.034,0,136.083,10,3.051,cubic
mp-1205875,Ba2InReO6,Fm3m,-2.5,0.034,0,145.774,10,7.651,cubic
mp-1211393,LaTi4Mn3O12,Im3,-3.126,0.035,0,447.428,40,5.101,cubic
mp-1206840,SrRhO3,I4/mcm,-2,0.035,0,126.553,10,6.259,tetragonal
mp-1205480,Eu2TmTaO6,Fm3m,-3.53,0.036,0,145.089,10,8.582,cubic
mp-1080506,Sr2TaInO6,Fm3m,-3.069,0.037,4.024,140.949,10,6.68,cubic
mp-1190098,CaHfS3,Pnma,-2.168,0.037,1.524,441.893,20,4.731,orthorhombic
mp-1210616,Mn4Cu3BiO12,Im3,-1.555,0.037,0,209.123,20,6.443,cubic
mp-20986,CaTi4(FeO4)3,Im3,-2.98,0.037,1.79,430.214,40,4.563,cubic
mp-1206801,RbEuCl3,Pm3m,-2.535,0.037,0.587,180.921,5,3.155,cubic
mp-19389,Ba2NdMoO6,I4/m,-2.994,0.038,0,161.841,10,6.267,tetragonal
mp-1209191,RbPbCl3,Pm3m,-1.817,0.038,3.091,187.451,5,3.535,cubic
mp-1206631,NiPb2WO6,Fm3m,-1.694,0.038,3.122,262.652,20,9.52,cubic
mp-1208349,TbMn4(CuO4)3,Im3,-1.86,0.038,0,203.712,20,6.206,cubic
mp-1206413,YbRu3C,Pm3m,-0.002,0.039,0,70.522,5,11.497,cubic
mp-5052,TiCdO3,Pna21,-2.653,0.039,2.416,230.057,20,6.013,orthorhombic
mp-561102,InBiO3,Pnma,-1.789,0.04,2.389,283.952,20,8.697,orthorhombic
mp-510294,Sr2CuWO6,I4/m,-2.474,0.04,0,129.858,10,6.632,tetragonal
mp-1205540,MgRe(PbO3)2,Fm3m,-2.041,0.04,0,129.731,10,9.228,cubic
mp-1212985,ErScO3,Pnma,-3.981,0.041,4.45,246.34,20,7.016,orthorhombic
mp-1189861,Mn7BiO12,C2/m,-1.948,0.041,0,217.794,20,5.989,monoclinic
mp-1209047,RbSrCl3,Pm3m,-2.589,0.041,4.666,184.833,5,2.511,cubic
mp-1194604,H6PbCI3N,Pnma,-0.513,0.041,1.818,1020.631,48,4.035,orthorhombic
mp-559614,Sr2ZnReO6,P21/c,-2.569,0.041,0,257.359,20,6.747,monoclinic
mp-1211597,La2CuIrO6,P21/c,-2.488,0.042,0,256.358,20,8.156,monoclinic
mp-1211359,LaMn3Cr4O12,Im3,-2.471,0.042,1.619,213.813,20,5.465,cubic
mp-1188812,La2MnNiO6,P21/c,-2.801,0.042,0,240.366,20,6.735,monoclinic
mp-14550,TiCdO3,Pnma,-2.649,0.043,2.122,227.387,20,6.084,orthorhombic
mp-1210001,NaTi4(CuO4)3,Im3,-2.528,0.043,0,205.104,20,4.834,cubic
mp-558528,La2TiZnO6,P21/c,-3.408,0.043,2.963,254.374,20,6.359,monoclinic
mp-548691,Sr2ZnReO6,I4/m,-2.567,0.043,0,128.938,10,6.734,tetragonal
mp-1206415,MgNi3B,Pm3m,-0.272,0.044,0,57.619,5,6.086,cubic
mp-1214679,Ba2CaNbO6,Fm3m,-3.098,0.044,0,160.095,10,5.224,cubic
mp-1193179,Cs3Cr2Cl9,P63/mmc,-1.82,0.045,0,886.517,28,3.079,hexagonal
mp-1206737,NaSr2ReO6,Fm3m,-2.646,0.045,1.802,138.621,10,5.755,cubic
mp-1205663,Sr2ZrTiO6,P4mm,-3.572,0.045,1.949,136.397,10,4.995,tetragonal
mp-1205832,Ba2ZrUO6,Fm3m,-3.527,0.045,0,164.584,10,7.062,cubic
mp-1206839,Eu2ErTaO6,Fm3m,-3.512,0.045,0.636,145.525,10,8.537,cubic
mp-1211589,KCaCl3,Pm3m,-2.555,0.046,4.817,156.898,5,1.964,cubic
mp-1213040,ErMn4(CuO4)3,Im3,-1.855,0.046,0,202.327,20,6.317,cubic
mp-1208902,Sm2ZnPtO6,P21/c,-2.603,0.046,1.704,248.904,20,8.769,monoclinic
mp-20472,LaRuO3,Pnma,-2.563,0.046,0,256.624,20,7.454,orthorhombic
mp-4307,BaIrO3,C2/c,-1.985,0.047,0,426.188,30,8.826,monoclinic
mp-1205685,Ba2YZrO6,Fm3m,-3.39,0.047,0,165.731,10,5.519,cubic
mp-1206401,LaRh3C,Pm3m,-0.388,0.048,0,77.687,5,9.824,cubic
mp-1206332,Sr2LaSbO6,Fm3m,-2.961,0.048,3.386,161.328,10,5.475,cubic
mp-1211319,La2CoRuO6,P21/c,-2.621,0.049,0,255.19,20,6.947,monoclinic
mp-1079300,BaZrSe3,P63/mmc,-1.588,0.049,0,294.589,10,5.247,hexagonal
mp-1207696,TmScO3,Pnma,-3.991,0.049,0.061,245.334,20,7.09,orthorhombic
mp-1206442,Cs2KYbCl6,Fm3m,-2.199,0.049,0,371.904,10,3.084,cubic
mp-1206323,CsYbH3,Pm3m,-0.456,0.05,3.333,98.116,5,5.229,cubic
mp-1205634,CaEu2WO6,Fm3m,-2.913,0.05,0.618,145.356,10,7.127,cubic
mp-1205776,Sr2InOsO6,Fm3m,-2.32,0.05,0.407,137.708,10,6.949,cubic
mp-1213082,ErGaO3,Pnma,-3.157,0.051,3.659,223.633,20,8.464,orthorhombic
mp-1214029,Ca3NbO6,P21/c,-3.122,0.051,0,275.132,20,3.732,monoclinic
mp-1212778,GdInO3,Pnma,-2.906,0.051,2.516,273.14,20,7.783,orthorhombic
mp-1105980,LuMn4(CuO4)3,Im3,-1.846,0.051,0,200.297,20,6.445,cubic
mp-1205888,NbFe(PbO3)2,P4/mmm,-2.127,0.053,0.456,133.389,10,8.206,tetragonal
mp-1211365,La2MgNbO6,P21/c,-3.452,0.053,0.212,263.034,20,6.2,monoclinic
mp-1069774,UBRh3,Pm3m,-0.559,0.055,0,75.899,5,12.198,cubic
mp-1209936,Nd2NiPtO6,P21/c,-2.395,0.057,1.673,249.832,20,8.485,monoclinic
mp-1207537,YbGaO3,Pnma,-2.54,0.057,0,223.881,20,8.626,orthorhombic
mp-8401,CsMgF3,Pm3m,-3.444,0.058,7.095,76.891,5,4.626,cubic
mp-1212982,Eu2NiPtO6,P21/c,-2.095,0.059,0,248.442,20,8.738,monoclinic
mp-1211392,LaMn4(CuO4)3,Im3,-1.864,0.059,0,418.061,40,5.889,cubic
mp-1211115,LiCa2TeO6,P21/c,-2.404,0.06,0,249.343,20,4.138,monoclinic
mp-1205520,Eu2DyTaO6,Fm3m,-3.483,0.063,0,148.424,10,8.317,cubic
mp-1207752,Y2NiRuO6,P21/c,-2.574,0.064,0,232.725,20,6.187,monoclinic
mp-5827,CaTiO3,Pm3m,-3.502,0.064,1.891,58.84,5,3.836,cubic
mp-1206828,Eu2YTaO6,Fm3m,-3.471,0.065,0.536,149.616,10,7.434,cubic
mp-1213810,CeLuO3,Pnma,-3.89,0.067,0.099,288.412,20,8.362,orthorhombic
mp-1212954,Er2NiRuO6,P21/c,-2.611,0.07,0,229.894,20,8.527,monoclinic
mp-1206518,RbFeCl3,Pm3m,-1.537,0.071,0,124.176,5,3.312,cubic
mp-1180782,KCrF3,Ibam,-2.94,0.682,0.166,154.485,10,3.184,orthorhombic
mp-1096997,H6PbCBr3N,Pnma,-0.634,0.032,2.113,855.178,48,3.72,orthorhombic
mp-977012,H6PbCBr3N,Pm,-0.629,0.037,2.853,224.239,12,3.547,monoclinic
mp-995232,H6PbCBr3N,P1,-0.622,0.044,1.969,900.54,48,3.533,triclinic
