Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc),Crystal System
mp-1206134,Ba2CdOsO6,Fm3m,-2.22,0,0,150.606,10,7.424,cubic
mp-1205649,LiSc(TlCl3)2,Fm3m,-1.987,0,3.824,261.431,10,4.277,cubic
mp-1206514,Mg3AsN,Pm3m,-0.811,0,1.335,76.392,5,3.518,cubic
mp-1078551,Ba2NdMoO6,P1,-3.032,0,1.107,161.711,10,6.272,triclinic
mp-4019,CaTiO3,Pnma,-3.567,0,2.305,229.15,20,3.94,orthorhombic
mp-1206026,Ba2DyMoO6,Fm3m,-3.08,0,0,153.814,10,6.791,cubic
mp-1206097,Ba2ZnMoO6,Fm3m,-2.582,0,2.411,139.91,10,6.314,cubic
mp-1078725,Ba2UZnO6,Fm3m,-3.186,0,1.809,153.534,10,7.291,cubic
mp-1189408,Sr2HoTaO6,P21/c,-3.621,0,3.829,288.022,20,7.116,monoclinic
mp-1207135,Gd3TlC,Pm3m,-0.419,0,0,124.311,5,9.192,cubic
mp-1213084,CsSrCl3,Pnma,-2.653,0,5.314,732.88,20,2.963,orthorhombic
mp-1205574,Cs2KScF6,Fm3m,-3.599,0,6.987,203.053,10,3.793,cubic
mp-1206644,Ba2ScNbO6,Fm3m,-3.486,0,2.572,144.717,10,5.835,cubic
mp-672373,La3Co4Sn13,Pm3n,-0.411,0,0,912.366,40,7.992,cubic
mp-1206292,Ba2ErUO6,Fm3m,-3.686,0,0.893,168.272,10,7.657,cubic
mp-1213246,Eu2NiRuO6,P21/c,-2.298,0,0,243.512,20,7.633,monoclinic
mp-1194135,Cs3Er2I9,P63/mmc,-1.498,0,2.89,1427.371,28,4.363,hexagonal
mp-1188853,CaTcO3,Pnma,-2.468,0,0,237.832,20,5.197,orthorhombic
mp-1112759,Cs2KInCl6,Fm3m,-2.032,0,3.601,347.132,10,3.025,cubic
mp-14551,Sr2CaUO6,P21/c,-3.586,0,2.211,312.879,20,5.831,monoclinic
mp-1111671,K2LiInF6,Fm3m,-3.044,0,5.304,148.041,10,3.521,cubic
mp-1205696,Cs2NaCrCl6,Fm3m,-2,0,1.379,286.979,10,3.203,cubic
mp-1205638,Cs3BrO,P63/mmc,-1.451,0,1.556,409.262,10,4.014,hexagonal
mp-1111927,K2LiCrF6,Fm3m,-3.168,0,4.168,133.67,10,3.12,cubic
mp-1205600,Ba2NdTaO6,C2/m,-3.504,0,3.509,162.397,10,7.115,monoclinic
mp-15889,Ba2LaIrO6,C2/m,-2.721,0,0,161.577,10,7.212,monoclinic
mp-1206773,TmRu3C,Pm3m,-0.262,0,0,71.089,5,11.309,cubic
mp-1206983,Ho3PbC,Pm3m,-0.55,0,0,116.783,5,10.152,cubic
mp-19281,LaCrO3,Pnma,-3.209,0,2.371,245.738,20,6.457,orthorhombic
mp-1205934,Ba2YbMoO6,Fm3m,-3.019,0,2.267,151.549,10,7.009,cubic
mp-1210954,LiSm2RuO6,P21/c,-2.793,0,0,241.106,20,6.952,monoclinic
mp-20921,Ba3MnNb2O9,P3m1,-3.138,0,1.75,878.752,60,6.022,trigonal
mp-1214916,Ba3InIr2O9,P63/mmc,-2.156,0,0,446.559,30,7.848,hexagonal
mp-7251,Ba2YNbO6,Fm3m,-3.458,0,2.856,157.07,10,5.841,cubic
mp-1212711,Gd2MgPtO6,P21/c,-2.896,0,2.033,242.974,20,8.61,monoclinic
mp-1205652,TlNiCl3,P63/mmc,-1.138,0,0.573,249.341,10,4.921,hexagonal
mp-1111150,K2LiCoF6,Fm3m,-2.788,0,2.628,130.483,10,3.284,cubic
mp-1207040,Ba2InOsO6,Fm3m,-2.33,0,0.445,145.034,10,7.736,cubic
mp-1211080,LiNd2RuO6,P21/c,-2.769,0,0,246.391,20,6.638,monoclinic
mp-1208643,SrHfS3,Pnma,-2.206,0,2.046,471.9,20,5.1,orthorhombic
mp-1111112,K2LiGaF6,Fm3m,-3.128,0,6.133,133.275,10,3.35,cubic
mp-13356,Ba2SrTeO6,R3,-2.74,0,3.147,164.749,10,5.905,trigonal
mp-1208761,Sr2SmTaO6,P21/c,-3.556,0,3.785,297.94,20,6.716,monoclinic
mp-1205549,Ba2GdTaO6,I4/m,-3.554,0,3.308,158.116,10,7.444,tetragonal
mp-1211270,KYbBr3,Pnma,-1.988,0,4.513,686.69,20,4.371,orthorhombic
mp-18744,Sr2ErMoO6,P21/c,-3.156,0,1.282,284.61,20,6.236,monoclinic
mp-562779,ErCoO3,Pnma,-2.715,0,1.458,206.786,20,8.807,orthorhombic
mp-1205833,Ba2NbRhO6,Fm3m,-2.745,0,0.933,138.59,10,6.787,cubic
mp-1207518,YbRhO3,Pnma,-2.29,0,0,226.373,20,9.505,orthorhombic
mp-1185383,Eu5Nb4O15,P3m1,-3.259,0,0,329.258,24,6.917,trigonal
mp-1207093,LuRu3C,Pm3m,-0.28,0,0,70.504,5,11.545,cubic
mp-1185576,CsYbI3,Pnma,-1.623,0,3.811,933.597,20,4.885,orthorhombic
mp-998762,MnTlF3,Pm3m,-2.619,0,3.108,80.408,5,6.532,cubic
mp-1205604,KVCl3,P63/mmc,-1.832,0,0.341,263.935,10,2.471,hexagonal
mp-1208776,Sr2ScTaO6,P21/c,-3.632,0,3.449,268.527,20,6.149,monoclinic
mp-1205672,KTl2CrF6,Fm3m,-2.702,0,3.795,180.165,10,5.658,cubic
mp-1206237,Ba2AgIO6,Fm3m,-1.887,0,0.127,157.358,10,6.389,cubic
mp-1206772,ThBRh3,Pm3m,-0.898,0,0,78.726,5,11.634,cubic
mp-1212708,Gd2NiPtO6,P21/c,-2.46,0,0,241.814,20,9.123,monoclinic
mp-1206990,Sm3SnN,Pm3m,-1.076,0,0,120.097,5,8.072,cubic
mp-1112992,Cs2NaCeF6,Fm3m,-3.538,0,0.457,206.486,10,4.366,cubic
mp-1213022,ErRhO3,Pnma,-2.611,0,0.996,232.862,20,9.075,orthorhombic
mp-1214658,Ba6Na2V2Sb2O17,P63/mmc,-2.734,0,3.199,951.817,58,5.19,hexagonal
mp-1211643,KCaCl3,Pnma,-2.601,0,5.565,587.947,20,2.096,orthorhombic
mp-1206912,Lu3GaC,Pm3m,-0.543,0,0.094,105.178,5,9.577,cubic
mp-1114347,KRb2AlF6,Fm3m,-3.447,0,6.428,172.209,10,3.385,cubic
mp-1206320,RbScCl3,P63/mmc,-2.291,0,0,288.023,10,2.73,hexagonal
mp-1078303,Ba2YOsO6,Fm3m,-2.876,0,0.073,151.77,10,7.109,cubic
