Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Volume,Nsites,Density (gm/cc)
mp-2691,CdSe,F43m,-0.628,0,0.509,59.953,2,5.3
mp-1070,CdSe,P63mc,-0.627,0.001,0.559,119.893,4,5.301
mp-1095493,CdSe2,Pa3,-0.339,0.08,0.952,307.126,12,5.846
mp-1055,CdSe,Fm3m,-0.482,0.146,0,47.476,2,6.694
mp-1183665,Cd3Se,I4/mmm,-0.064,0.25,0,101.423,4,6.814
